"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","name_census","population"
"1","AZ","scottsdale","03200701100000",31637,2021,1719985000,985338000,106185000,1799000,0,0,421583000,0,1923000,0,33927000,256516000,52751000,339814000,439657000,443746000,644992000,0,0,0,1088738000,"0465000","city of scottsdale","scottsdale city",241339
"2","AZ","mesa","03200700800000",31634,2021,4282895000,1932351000,345738000,0,0,1285000,1014811000,0,953762000,0,34949000,505109000,101375000,45415000,571600000,52246000,1171253000,0,0,0,1223499000,"0446000","city of mesa","mesa city",504300
"3","AZ","tucson","03201000200000",31644,2021,3382060447,613720192,268899451,10533273,26851862,0,1291047640,0,212813304,0,52396915,436980206,258542441,114021672,636946327,304253927,1142236719,0,0,0,1446490646,"0477000","city of tucson","tucson city",542656
"4","CA","modesto","05205000200000",31888,2021,924422665,274770722,135118423,4104503,28100033,1282000,364250642,0,30427400,0,12275660,209083826,41321509,66497608,194423077,120984162,390341858,0,0,0,511326020,"0648354","city of modesto","modesto city",218467
"5","CA","oakland","05200100900000",31740,2021,4186217000,815113000,470545000,28842000,0,0,1801374000,0,842836000,0,58115000,240232000,206509000,3178000,1032523000,159185000,1323257000,0,0,0,1482442000,"0653000","city of oakland","oakland city",440660
"6","CA","moreno valley","05203340100000",31838,2021,264594470,75407394,65890232,7120146,0,0,77591423,0,9047518,0,7046757,81060200,35300473,28432204,116861022,45380892,216273007,39773913,380035,0,261653899,"0649270","city of moreno valley","moreno valley city",208640
"7","CA","riverside","05203301200000",31836,2021,2634527000,1731664000,169564000,17276000,457000,64678000,229566000,0,52276000,0,42906000,589373000,68381000,40557000,288936000,20496000,966751000,0,0,0,987247000,"0662000","city of riverside","riverside city",315014
"8","CA","san jose",NA,101868,2021,7908010000,2310580000,586017000,0,733000,278657000,3591797000,0,864874000,1062000,96286000,1094632000,306679000,114096000,1211457000,-238056000,2964920000,0,0,0,2726864000,"0668000",NA,"san jose city",1013221
"9","AZ","chandler","03200700300000",31633,2021,1014689233,533634364,63516870,0,0,0,316219876,0,63003983,0,15088278,207153580,26659645,30929214,304246854,25690296,543298997,0,0,0,568989293,"0412000","city of chandler","chandler city",276010
"10","FL","st petersburg","10205202000000",32314,2021,1459810343,804019000,88765560,5146000,0,93735000,115587405,16268755,256867376,0,28634000,343744042,27084983,8669465,310801563,70430621,619869432,0,0,0,690300053,"1263000","city of st petersburg","st petersburg city",258356
"11","ID","boise","13200100100000",32682,2021,224705000,122279000,77747000,960000,0,0,0,101251000,15036000,0,8683000,211744000,31395000,46814000,165306000,92708000,362551000,0,0,0,455259000,"1608830","city of boise","boise city city",235712
"12","NC","durham","34203200100000",36706,2021,1021315269,583769527,94664449,0,22472000,0,114942996,0,164490386,0,25797782,181238487,62230071,41106706,303275321,110220252,477630333,0,0,0,587850585,"3719000","city of durham","durham city",283588
"13","NC","greensboro","34204100200000",36710,2021,1237340836,798854077,132626016,15472735,894000,0,114198568,0,124450254,0,8292297,187525380,32446520,27510505,307091747,27736284,526837868,0,0,0,554574152,"3728000","city of greensboro","greensboro city",299101
"14","NC","winston-salem","34203400200000",36708,2021,1115603455,648128992,81592368,0,0,0,80074722,0,0,12099186,17313914,179974354,28853239,18775477,272303101,112989316,386916855,0,0,0,499906171,"3775000","city of winston-salem","winston-salem city",249562
"15","NC","charlotte","34206000100000",36713,2021,6817711000,3655140000,495567000,0,37759000,255861000,1019687000,0,227624000,42758000,90754000,918042000,384777000,229234000,950838000,270715000,2212176000,0,0,0,2482891000,"3712000","city of charlotte","charlotte city",874607
"16","NM","albuquerque","32200100100000",35917,2021,2493805208,873392404,192010899,0,17891418,0,904300000,0,314556997,0,50009598,203316874,146336303,91437652,783708720,131111202,1093688347,0,0,0,1224799549,"3502000","city of albuquerque","albuquerque city",564581
"17","NV","las vegas","29200200200000",35519,2021,1828903547,605078011,148864241,1343549,0,0,873504531,0,55725322,0,48520133,342497540,69531972,299816517,505694087,191472475,1026067641,0,0,0,1217540116,"3240000","city of las vegas","las vegas city",644866
"18","NV","reno","29201600100000",35523,2021,1061795874,464731245,78943241,0,0,0,252369268,0,147020971,0,28289163,180147039,45421838,89143603,208896146,121179264,402429362,0,0,0,523608626,"3260600","city of reno","reno city",264147
"19","NY","yonkers","33206002800000",36072,2021,5070868554,640889450,271047115,0,1800000,13624677,120899468,0,3814099761,0,53184393,93083948,115481983,2175497,1065270640,-125205652,1401217720,0,0,0,1276012068,"3684000","city of yonkers","yonkers city",211585
"20","NY","buffalo",NA,149470,2021,2288501912,329480064,468847185,0,0,0,62224319,0,1383997705,0,27931111,99980697,35183315,23264954,493946905,58083041,594292830,0,0,0,652375871,"3611000",NA,"buffalo city",278301
"21","OH","cincinnati","36203100600000",36933,2021,3961053000,1188159000,135140000,17834000,62932000,9522000,2305754000,0,74567000,63751000,136395000,404708000,234755000,17530000,617451000,-223436000,1497880000,0,0,0,1274444000,"3915000","city of cincinnati","cincinnati city",309561
"22","OK","tulsa","37207201000000",37344,2021,1310463000,790783000,70853000,5087000,0,0,307741000,0,4600000,0,37034000,121300000,67336000,21185000,493281000,109089000,594013000,0,0,0,703102000,"4075000","city of tulsa","tulsa city",413123
"23","OK","oklahoma city","37205501500000",125837,2021,2377773000,1155187000,96685000,13000,0,15517000,408312000,0,443682000,0,94378000,123615000,182767000,35114000,688412000,30479000,999429000,0,0,0,1029908000,"4055000","city of oklahoma city","oklahoma city city",681084
"24","OR","portland","38202600300000",37572,2021,9676620990,3311215642,362782129,0,99751539,0,5447870710,0,95444851,2403478,112505275,1159638315,214510377,167840829,858185289,84810312,2315364498,0,0,0,2400174810,"4159000","city of portland","portland city",652518
"25","TN","memphis","43207900500000",38563,2021,4210272000,2246280000,504065000,23742000,439019000,0,4511000,0,809284000,0,131515000,1898737000,138376000,13080000,866713000,335264000,2581642000,0,0,0,2916906000,"4748000","city of memphis","memphis city",631539
"26","TX","irving","44205701600000",47012,2021,1089686874,764247733,86083020,1338724,0,2765000,153236230,0,18303061,0,34493704,164367049,19645220,13164831,299552375,77962461,418767014,0,0,0,496729475,"4837000","city of irving","irving city",256687
"27","TX","plano","44204300900000",38665,2021,812220663,613069000,74490302,0,0,4800000,55021601,14036741,6188875,0,50350289,247617625,38177985,5731600,346958154,57865808,580619556,0,0,0,638485364,"4858016","city of plano","plano city",285469
"28","TX","el paso","44207100200000",43166,2021,2773436603,1687856234,165215037,0,0,1560000,485256939,0,168416162,0,73791412,247113932,185820789,48625716,603995270,214629363,870926344,0,0,0,1085555707,"4824000","city of el paso","el paso city",678697
"29","VA","chesapeake","47210570100000",230275,2021,1160016852,675136667,97609209,0,1319095,0,215077882,0,40178800,9933717,24884770,145193821,163453478,24094419,585167320,129954513,787954525,81216423,887583,9661238,917909038,"5116000","city of chesapeake","chesapeake city",249415
"30","VA","virginia beach","47213200100000",230476,2021,2350727399,1458044384,155761720,0,0,0,525466635,0,94167390,0,49703863,304577185,234018269,4568665,1193728132,121109732,1615782519,0,0,0,1736892251,"5182000","city of virginia beach","virginia beach city",459471
"31","MI","detroit","23208200400000",34317,2021,6418274433,496952425,910918244,0,28885588,0,2159574662,28023927,0,0,101291866,759542821,385880823,4688394,1132809816,-29478982,2312400836,0,0,0,2282921854,"2622000","city of detroit","detroit city",639115
"32","NE","lincoln","28205500700000",35447,2021,1668339134,1172313000,141527498,43884000,26442000,67355000,39668000,0,26979000,0,33791000,515693043,131325308,35706328,252893558,169600190,766018047,0,0,0,935618237,"3128000","city of lincoln","lincoln city",291105
"33","CA","santa clarita","05201940200000",31800,2021,221580825,77875820,41923993,542094,0,0,34737777,0,0,12575778,4454922,69557455,73969612,51886443,113120342,110977116,197556736,0,0,0,308533852,"0669088","city of santa clarita","santa clarita city",228679
"34","CA","sacramento","05203400500000",42691,2021,3159764000,1214520000,191357000,6754000,0,217586000,1069704000,0,244249000,0,51795000,494252000,186142000,160205000,563936000,133611000,1270924000,0,0,0,1404535000,"0664000","city of sacramento","sacramento city",524924
"35","TX","fort worth","44222001100000",38708,2021,6485913000,2047097000,426042000,1109000,0,61730000,2359866000,0,903895000,0,33390000,699273000,191057000,343277000,996100000,185869000,2043838000,0,0,0,2229707000,"4827000","city of fort worth","fort worth city",918937
"36","AZ","phoenix","03200701000000",31636,2021,14097669000,7632598000,1042790000,1166000,211804000,0,4652055000,0,136443000,73892000,176765000,1493581000,792500000,474452000,2200787000,819332000,4141988000,0,0,0,4961320000,"0455000","city of phoenix","phoenix city",1608190
"37","TX","garland","44205701200000",44101,2021,1739221826,1309962228,175637389,0,0,29355000,11418246,0,87457328,0,29462323,564091256,23969468,11517051,188616618,78012966,710181427,0,0,0,788194393,"4829000","city of garland","garland city",246001
"38","TX","san antonio","44201501000000",38656,2021,6346636000,3686846000,243244000,5998000,0,78462000,819657000,0,933170000,0,253550000,455961000,450540000,109679000,1721505000,139307000,2598378000,0,0,0,2737685000,"4865000","city of san antonio","san antonio city",1434367
"39","GA","atlanta","11206000200000",42897,2021,10740141000,6407666000,524334000,227649000,868000,715991000,1251025000,0,888700000,0,36840000,1046507000,126556000,150100000,1146055000,276037000,2193181000,0,0,0,2469218000,"1304000","city of atlanta","atlanta city",498722
"40","TX","lubbock","44215200200000",38693,2021,2018728188,1499706852,131144266,0,6474285,0,157803158,0,172402112,0,38433103,486662940,35022315,46673534,259919694,108826027,719452456,0,0,0,828278483,"4845000","city of lubbock","lubbock city",257157
"41","FL","orlando","10204800900000",148141,2021,2074858241,689984541,379774984,0,244460983,0,290159850,0,353133200,0,49403177,390677409,32688086,63386671,525194143,98462823,913483486,111168441,7789655,6225256,1011946309,"1253000","city of orlando","orlando city",307683
"42","NY","rochester","33202800800000",36037,2021,2359529000,109523000,290317000,0,15144000,89298000,55648000,0,1753793000,0,0,231052000,47316000,38232000,496972000,-44077000,857649000,0,0,0,813572000,"3663000","city of rochester","rochester city",211321
"43","TX","laredo","44224000100000",40881,2021,1476807436,872323370,99013438,3722778,0,1415165,252346173,1326670,206576960,0,27943429,300487477,57404450,37607196,166447336,85902511,476043948,0,0,0,561946459,"4841464","city of laredo","laredo city",255212
"44","TX","corpus christi","44217800300000",38701,2021,1936597928,1436664775,145981390,20291264,0,41176000,203244403,0,10392386,0,46141166,367736997,26069523,25251459,302631698,99178257,622511420,0,2202125,0,721689677,"4817000","city of corpus christi","corpus christi city",317863
"45","CA","chula vista","05203700200000",31856,2021,1006423881,432751065,68079182,10997593,0,6616007,351965194,0,26787344,0,10969829,97910954,25973347,62660895,224008306,75499652,335053850,0,0,0,410553502,"0613392","city of chula vista","chula vista city",275500
"46","FL","miami","10201301300000",398462,2021,3072883367,545256747,220635829,0,0,0,1034749059,0,958411935,0,82659616,242502030,162278864,19238489,681071857,-122118175,1227209415,0,0,0,1105091240,"1245000","city of miami","miami city",442260
"47","MO","kansas city","26204800600000",43771,2021,6184292000,4291256000,442597000,0,2585000,71131000,1093020000,0,93377000,0,52431000,824967000,216957000,92442000,792688000,-98536000,2025590000,0,0,0,1927054000,"2938000","city of kansas city","kansas city city",507971
"48","OH","columbus","36202500300000",44337,2021,6954370000,4884373000,347319000,0,0,54612000,1356638000,0,160591000,40802000,123252000,815964000,243564000,94670000,1245808000,563663000,1836343000,0,0,0,2400006000,"3918000","city of columbus","columbus city",905839
"49","CA","irvine","05203090100000",31829,2021,287944000,0,85360000,0,0,0,153978000,0,9488000,0,18116000,101501000,38077000,26585000,179716000,-29445000,375324000,0,0,0,345879000,"0636770","city of irvine","irvine city",307665
"50","NC","raleigh","34209200800000",36728,2021,2361176428,922385308,226210165,0,0,110377435,203853587,0,189934098,0,33245460,386760096,56117156,46588732,497789792,199617892,787637884,0,0,0,987255776,"3755000","city of raleigh","raleigh city",467762
"51","TX","houston","44210100800000",43770,2021,22569340000,14187175000,718518000,81906000,0,307910000,1779562000,0,2629644000,0,543297000,1928908000,1360452000,679022000,2370832000,1368574000,4970640000,0,0,0,6339214000,"4835000","city of houston","houston city",2301572
"52","CA","san francisco","05203800100000",54175,2021,36525105000,19229180000,1339611000,19820000,20914000,234967000,5614021000,0,3811347000,0,421167000,3919434000,2635598000,362827000,6188949000,521077000,12585731000,0,0,0,13106808000,"0667000","city and county of san francisco","san francisco city",873959
"53","CO","aurora","06200350100000",31994,2021,1283387916,705178048,157150704,37475103,0,27500836,106801109,16282358,21037880,0,43127748,291257317,49418179,319486977,470381308,391253537,739290244,0,0,0,1130543781,"0804000","city of aurora","aurora city",386324
"54","CA","santa ana","05203001600000",31826,2021,1135383347,73947137,184478605,11488671,1901664,24188635,702444738,0,55210904,0,30948115,159899391,126944625,38392355,297528787,48103945,574661213,0,0,0,622765158,"0669000","city of santa ana","santa ana city",310555
"55","AL","huntsville","01204500100000",31569,2021,1361325111,156026899,80907197,0,0,0,222331632,0,72487230,0,31645956,124176502,49077524,21343474,402917329,130776671,466738158,0,0,0,597514829,"0137000","city of huntsville","huntsville city",215052
"56","CA","san diego","05203701000000",44032,2021,8481413000,2510599000,732235000,239672000,273111000,98730000,3513674000,0,469975000,0,97719000,1610162000,430170000,136162000,1543273000,-36298000,3756065000,0,0,0,3719767000,"0666000","city of san diego","san diego city",1386960
"57","MA","boston","22201300100000",34032,2021,6426387000,1418056000,786957000,61608000,0,21725000,1406402000,0,2196724000,0,257282000,226977000,770430000,54589000,3093413000,56834000,4088575000,0,0,0,4145409000,"2507000","city of boston","boston city",675632
"58","IN","fort wayne","15200200100000",33221,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1825000","city of fort wayne","fort wayne city",263914
"59","CO","colorado springs","06202100200000",31999,2021,3971629197,2962799000,358382576,26083000,0,21074000,313149000,18791321,66775000,0,41658000,1251944309,75745579,203406095,398827143,271690474,1658232652,0,0,0,1929923126,"0816000","city of colorado springs","colorado springs city",479016
"60","CA","long beach","05201902600000",31784,2021,4381212000,1858585000,474323000,38943000,0,552878000,527875000,0,8785000,0,225119000,1182700000,352496000,116132000,484050000,431940000,1703438000,0,0,0,2135378000,"0643000","city of long beach","long beach city",466775
"61","KS","wichita","17208701400000",33468,2021,1500033422,1078742000,246530158,291000,24955000,0,15602000,0,44218000,0,14577000,281550001,96248303,56162968,279539928,125235932,588265268,0,0,0,713501200,"2079000","city of wichita","wichita city",397547
"62","OH","cleveland","36201801400000",36922,2021,3850423000,2140606000,590787000,0,124834000,0,786813000,0,77160000,35117000,44267000,756886000,228834000,80011000,664392000,430959000,1299164000,0,0,0,1730123000,"3916000","city of cleveland","cleveland city",372632
"63","FL","hialeah","10201300800000",96403,2021,1108399492,87413153,108782575,7518033,10890570,28400000,301647421,3738042,471720312,0,35451582,164621510,21087711,6723746,150919565,-37334833,380687365,0,0,0,343352532,"1230000","city of hialeah","hialeah city",223123
"64","FL","tampa","10202900300000",32297,2021,1566384797,844785342,150492379,3294589,23542291,118685450,209150745,0,75519951,0,74949299,486781727,105976466,72922442,417135747,250985258,831831124,0,0,0,1082816382,"1271000","city of tampa","tampa city",384661
"65","AZ","glendale","03200700600000",44287,2021,1440811000,824447000,111250000,0,0,0,429332000,0,613000,1916000,35840000,171934000,69365000,21323000,338437000,113010000,488049000,0,0,0,601059000,"0427820","city of glendale","glendale city",248374
"66","IL","chicago","14201601600000",32795,2021,70203052000,27636274000,5590602000,0,215000000,0,33696585000,0,2000017000,0,0,3969542000,1002587000,129395000,7807584000,1300131000,11608977000,0,0,0,12909108000,"1714000","city of chicago","chicago city",2746352
"67","NE","omaha","28202800400000",35443,2021,3145801379,1107035493,196958885,244245019,0,28500606,814257649,0,512272582,0,90438534,343088949,186602480,57641000,481454634,235314997,833472066,0,0,0,1068787063,"3137000","city of omaha","omaha city",491743
"68","MN","minneapolis","24202702000000",1036390,2021,1790197000,774856000,241108000,0,0,104208000,389858000,0,47213000,0,46525000,426735000,143082000,5526000,498998000,97729000,976612000,0,0,0,1074341000,"2743000","city of minneapolis","minneapolis city",429985
"69","TX","arlington","44222000100000",31543,2021,1866983000,1596855000,69491000,0,0,0,0,27444000,144366000,0,45914000,251671000,58366000,7851000,367474000,77417000,607945000,0,0,0,685362000,"4804000","city of arlington","arlington city",394257
"70","TX","austin","44222700100000",38712,2021,15516665000,7257062000,593022000,21843000,0,178600000,2178003000,0,4346367000,0,180500000,2588072000,214943000,250249000,1382782000,-191392000,4627438000,0,0,0,4436046000,"4805000","city of austin","austin city",961900
"71","TX","dallas","44205700700000",38669,2021,14023129000,5887723000,599300000,185446000,0,180981000,5702885000,0,266160000,0,135807000,1293953000,269411000,111859000,1765420000,949004000,2491639000,0,0,0,3440643000,"4819000","city of dallas","dallas city",1304317
"72","WI","madison","50201301100000",39884,2021,1147484321,855914625,144028203,820000,0,0,78674,112995852,84581716,0,61952786,189663332,87142107,37834215,345880271,91681516,568838409,0,0,0,660519925,"5548000","city of madison","madison city",269769
"73","WI","milwaukee","50204100900000",39892,2021,4761383000,1378071000,365916000,0,273792000,0,927864000,0,1680554000,0,47800000,435452000,122845000,20487000,715045000,-286596000,1580425000,99730,431,49,1293829000,"5553000","city of milwaukee","milwaukee city",577225
"74","CA","fremont","05200100500000",96340,2021,687053116,135635864,31958426,0,0,0,409107867,0,81415258,0,14210309,55603665,57322305,44626295,212713826,40168927,330097164,0,0,0,370266091,"0626000","city of fremont","fremont city",230493
"75","NV","north las vegas","29200200300000",35520,2021,855709552,389437917,71329348,0,0,0,219150533,0,109107152,0,41634466,261266048,53537390,90749512,171225564,156684823,420093691,0,0,0,576778514,"3251800","city of north las vegas","north las vegas city",259520
"76","OH","toledo","36204800700000",98182,2021,1734470000,503408000,164999000,59000,549407000,85006000,338517000,0,40350000,9475000,40565000,271882000,34939000,21030000,259637000,130135000,457353000,84019000,2232000,113000,587488000,"3977000","city of toledo","toledo city",270880
"77","CA","bakersfield","05201500100000",43912,2021,813093048,129974556,76830458,16304875,352970,3000000,461426874,0,36512308,0,21139007,200365419,116839591,105867374,289114373,157255945,554930812,0,0,0,712186757,"0603526","city of bakersfield","bakersfield city",404440
"78","CA","los angeles","05201902700000",149487,2021,56315847000,33744378000,3947445000,42799000,110792000,330600000,11279212000,0,2484602000,0,1059539000,10177883000,2123367000,654564000,5407744000,1025505000,17338053000,0,0,0,18363558000,"0644000","city of los angeles","los angeles city",3898767
"79","CO","denver county","06201600100000",1266289,2021,12287597000,8407267000,926765000,404036000,0,5031000,1764486000,65973000,253829000,0,178399000,1467523000,411790000,147118000,2101906000,420338000,3707999000,0,0,0,4128337000,"0820000","city and county of denver","denver city",715538
"80","PA","pittsburgh","39200205600000",43862,2021,2033199668,472710995,45437895,7422843,0,0,822015601,0,395364862,0,31767924,61439555,91485798,48743407,504329684,80631025,625367419,0,0,0,705998444,"4261000","city of pittsburgh","pittsburgh city",302958
"81","CA","stockton","05203900400000",31865,2021,1230233905,458090480,124293781,206486,10870821,6115000,549631640,0,0,0,14710071,214659434,51328357,52328038,301480671,114940626,504855874,64096970,135118,7371911,619796500,"0675000","city of stockton","stockton city",320810
"82","CA","anaheim","05203000100000",31819,2021,3305927000,1857165000,216887000,0,22779000,0,834846000,0,160100000,0,0,691925000,226613000,46127000,210259000,-33746000,1208670000,0,0,0,1174924000,"0602000","city of anaheim","anaheim city",346825
"83","IA","des moines","16207700500000",71073,2021,1054729050,649858475,91374421,21389984,6852000,3269426,213409053,0,22792325,0,0,175963699,84260437,22791773,255194377,71726206,466484080,0,0,0,538210286,"1921000","city of des moines","des moines city",214125
"84","WA","seattle","48201702100000",39553,2021,9142892000,5815146000,615595000,105000,0,138266000,1198219000,630536000,654541000,0,140278000,2655348000,355181000,78241000,2061037000,908319000,4241488000,0,0,0,5149807000,"5363000","city of seattle","seattle city",737018
"85","CA","fresno","05201000500000",31759,2021,1615388000,441085000,263178000,41153000,0,426200000,0,93198000,152604000,0,83908000,341494000,96727000,164948000,327378000,-13050000,943597000,0,0,0,930547000,"0627000","city of fresno","fresno city",542252
"86","WA","spokane","48203201000000",39566,2021,839405510,245896265,29778576,288337,100574294,0,174685904,174325293,91501555,0,27687978,307136786,77269069,10977682,262927432,135635819,522675150,0,0,0,658310969,"5367000","city of spokane","spokane city",228978
"87","VA","norfolk","47212200100000",230389,2021,2458465093,1597133257,211590385,0,83260000,0,389045271,0,114305792,0,23904172,246292497,207935782,1982849,342975641,17693,799169076,0,0,0,799186769,"5157000","city of norfolk","norfolk city",238001
"88","CA","san bernardino","05203601000000",31848,2021,764831424,103233089,81630898,139182,0,4374000,473069693,0,4870958,0,8342227,103214998,36292187,8307060,159130522,36657064,270287703,42758192,2717660,0,306944767,"0665000","city of san bernardino","san bernardino city",222068
"89","VA","richmond","47212700100000",230420,2021,2728454001,880909424,273104411,0,0,977821551,399778235,0,120143312,0,24659319,588576958,44339425,28362735,582921061,62470445,1181729734,0,0,0,1244200179,"5167000","city of richmond","richmond city",226618
"90","MD","baltimore","21200400100000",33980,2021,9542603000,3394325000,1058738000,150218000,184821000,0,2164643000,0,527869000,0,203137000,746863000,471637000,264540000,1830949000,315321000,2998668000,0,0,0,3313989000,"2404000","city of baltimore","baltimore city",585693
"91","NV","henderson","29200200100000",35518,2021,1084887438,392227766,104643888,1125511,786030,0,416549579,0,89339854,0,50613783,213767054,47122554,131993963,315648488,114461453,594070606,0,0,0,708532059,"3231900","city of henderson","henderson city",317310
"92","FL","jacksonville","10201600300000",32292,2021,6696965000,2234806000,408696000,0,82538000,39003000,3107155000,0,416420000,0,133140000,298890000,100593000,54297000,1622272000,-43312000,2119364000,84202000,2606000,0,2076052000,"1235000","city of jacksonville","jacksonville city",949616
"93","NJ","jersey city","31200900600000",108025,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3436000","city of jersey city","jersey city city",292754
"94","WA","tacoma","48202701600000",39559,2021,2172314000,260367000,208719000,0,138293000,841000,110879000,177099000,229263000,0,51398000,909445000,72197000,59934000,263593000,178902000,1126267000,0,0,0,1305169000,"5370000","city of tacoma","tacoma city",219175
"95","NY","new york","33203100100000",122258,2021,283974857000,99441465000,36958227000,1598706000,0,0,9598353000,0,117979233000,0,6372726000,5669230000,28108585000,675115000,69723042000,9325259000,94850713000,0,0,0,104175972000,"3651000","city of new york","new york city",8804194
"96","PA","philadelphia","39205100100000",42714,2021,18803884000,8484844000,2887334000,0,0,141110000,4721351000,0,2088155000,0,5984000,1454661000,2716502000,90286000,4502394000,355507000,8408336000,0,0,0,8763843000,"4260000","city of philadelphia","philadelphia city",1603799
