,state.name,census_num_municipal_gov,acfrs_num_municipal_gov,num_missing_municipal
,total,19465,7111,12354
1,Alabama,461,65,396
2,Alaska,149,39,110
3,Arizona,91,61,30
4,Arkansas,501,274,227
5,California,482,436,46
6,Colorado,271,73,198
7,Connecticut,30,26,4
8,Delaware,57,6,51
9,District of Columbia,1,NA,NA
10,Florida,412,389,23
11,Georgia,537,210,327
12,Hawaii,1,NA,NA
13,Idaho,200,36,164
14,Illinois,1297,1037,260
15,Indiana,567,198,369
16,Iowa,943,208,735
17,Kansas,625,61,564
18,Kentucky,417,45,372
19,Louisiana,304,247,57
20,Maine,23,22,1
21,Maryland,157,25,132
22,Massachusetts,53,52,1
23,Michigan,533,472,61
24,Minnesota,853,160,693
25,Mississippi,298,36,262
26,Missouri,944,95,849
27,Montana,129,27,102
28,Nebraska,529,288,241
29,Nevada,19,14,5
30,New Hampshire,13,13,0
31,New Jersey,324,66,258
32,New Mexico,105,29,76
33,New York,601,55,546
34,North Carolina,552,127,425
35,North Dakota,357,24,333
36,Ohio,931,352,579
37,Oklahoma,590,409,181
38,Oregon,240,227,13
39,Pennsylvania,1013,36,977
40,Rhode Island,8,7,1
41,South Carolina,270,38,232
42,South Dakota,311,35,276
43,Tennessee,345,333,12
44,Texas,1218,267,951
45,Utah,250,173,77
46,Vermont,42,8,34
47,Virginia,228,93,135
48,Washington,281,140,141
49,West Virginia,232,27,205
50,Wisconsin,601,37,564