"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population","x2020_urban_pop","x2020_pct_urban_pop","npl_person","avg_npl_person"
"73","MO","missouri",148599,2021,18579166000,2310803000,2539102000,38491000,0,0,7482744000,0,3275006000,0,196555000,4147456000,19052759000,1568379000,13867357000,3414100000,35221851000,1828313,214,0,38635951000,NA,29,6154920,4275663,69.4674806938782,1216,2207
"74","NH","new hampshire",35545,2021,6596112000,1153302000,1484817000,16900000,2704000,196238000,1231186000,0,2197650000,0,104004000,2741173000,4460241000,209232000,3011398000,728170000,9693874000,122136,4310,27,10422044000,NA,33,1377518,803420,58.323273049061,894,2207
"75","IA","iowa",1036991,2021,9323755000,3044848000,26687000,43021000,0,0,1077174000,0,468779000,0,587113000,7215863000,11054444000,553462000,11335484000,2354506000,27804747000,4771731000,2041648000,33205000,30159253000,NA,19,3190372,2014831,63.1535411734505,338,2207
"76","LA","louisiana",90240,2021,37286338000,8452875000,11000094000,2009000,0,26573000,7652518000,0,6249082000,0,238418000,3283718000,26131910000,666244000,13083564000,1037130000,42128306000,4756591000,93646000,0,43165436000,NA,22,4657749,3332237,71.5416669439818,1643,2207
"77","SC","south carolina",38235,2021,15940670000,1779886000,4761001000,6306000,0,71178000,4433241000,0,3665935000,0,209452000,4746896000,16276411000,728616000,16130654000,4292955000,33589622000,0,0,0,37882577000,NA,45,5118429,3477869,67.948030888408,866,2207
"78","RI","rhode island",38202,2021,10147273000,3084068000,2702862000,137444000,0,0,3693920000,0,345350000,11226000,89157000,2040593000,6391181000,282976000,4280460000,659590000,12335620000,0,0,0,12995210000,NA,44,1097371,999191,91.0524987265111,3366,2207
"79","UT","utah",39282,2021,7729825000,3911629000,2806348000,25624000,0,134000,411417000,0,608000,0,217280000,2585041000,7776975000,154058000,11253186000,3664833000,18104427000,67872000,858000,0,21769260000,NA,49,3271614,2937303,89.7814107768149,126,2207
"80","WI","wisconsin",39818,2021,28571435000,12824044000,10165101000,28052000,12824044000,217939000,0,1756036000,1327648000,249006000,2716624000,9448722000,18495066000,1020529000,20844549000,3208622000,46600244000,0,0,0,49808866000,NA,55,5893725,3953691,67.0831383517162,0,2207
"81","WA","washington",39528,2021,86950922000,27731386000,10068030000,4995000,0,0,2509635000,2467388000,6051091000,0,967603000,19952732000,34458593000,648888000,33609591000,3655115000,85014689000,0,0,0,88669804000,NA,53,7705247,6424035,83.3718458807667,326,2207
"82","DC","district of columbia",47298,2021,18144143000,12656287000,4111604000,70380000,407223000,163665000,0,2056646000,0,313355000,324082000,1184058000,7137868000,309217000,9738925000,825861000,17544207000,0,0,0,18370068000,NA,11,689546,689545,100,0,2207
"83","NV","nevada",35504,2021,13758375000,2992919000,6954942000,7542000,0,0,2354763000,0,882306000,0,128833000,1101663000,12874090000,7317000,6141433000,192747000,19931756000,0,0,0,20124503000,NA,32,3104624,2921203,94.0923090599991,758,2207
"84","MI","michigan",80814,2021,38108406000,7505300000,11540044000,400500000,0,80700000,7651000000,0,7778200000,0,459700000,22549697000,29879020000,981719000,37877299000,6724358000,84563377000,5057975000,360000,0,91287735000,NA,26,10077325,7404258,73.4743951548282,759,2207
"85","AL","alabama",31550,2021,15007563000,6067908000,3279338000,103982000,68502000,0,3976285000,0,987056000,0,334749000,3250354000,13610806000,1064082000,15650728000,3500769000,30075201000,249846000,1530160000,0,33575970000,NA,1,5024356,2900880,57.7372395123758,791,2207
"86","MA","massachusetts",149462,2021,131059556000,45393477000,14272168000,22984000,0,0,47141778000,0,19694477000,0,984935000,16895110000,41157556000,252110000,36018716000,-858033000,95181525000,1608603000,17208485000,0,94323492000,NA,25,7029949,6416895,91.2798116962121,6706,2207
"87","AK","alaska",31574,2021,16726973000,1374829000,8741798000,211165000,0,3859000,5089994000,20031000,3405000,548581000,203580000,1789873000,4904678000,831826000,20941062000,16150304000,12317135000,121978000,614000,58343000,28467439000,NA,2,733378,475967,64.899487449396,6940,2207
"88","CT","connecticut",149448,2021,106761347000,29770530000,5205641000,16511000,0,0,42551460000,0,26040226000,0,791037000,6035058000,16776285000,998284000,21562279000,-1644473000,47016379000,0,0,0,45371906000,NA,9,3605942,3110153,86.2507293513155,11800,2207
"89","NJ","new jersey",40624,2021,262003072072,26668000000,13172773909,417000000,1279000000,0,95235061386,614336,101605641478,0,615000000,12105245287,41729823608,190989312,43271051015,3758293186,93538816036,0,0,0,97297109222,NA,34,9289031,8708779,93.7537369493403,10252,2207
"90","DE","delaware",32212,2021,19185075000,3894611000,2491186000,0,243447000,18769000,1726785000,0,9564690000,0,242235000,2374123000,4833933000,336418000,6012714000,253418000,13303770000,0,0,0,13557188000,NA,10,989957,817817,82.6121170000849,1744,2207
"91","WY","wyoming",40122,2021,9272163993,11047303,6035179638,353388,0,0,432262923,970439,527492619,0,64129637,844961319,2557687418,8000959,4934468839,2630323172,5714795363,0,0,0,8345118535,NA,56,576837,357750,62.017748083994,749,2207
"92","HI","hawaii",71062,2021,32322093000,12160159000,3997605000,319468000,717096000,200000000,7814788000,0,6516876000,0,293786000,1594865000,8236938000,83411000,7818383000,-1626184000,19359781000,0,0,0,17733597000,NA,15,1455273,1252450,86.0630081957244,5370,2207
"93","MD","maryland",149463,2021,70729931000,21512555000,11279016000,537356000,0,0,20663518000,0,15681628000,0,412144000,11140230000,26436860000,902584000,24801845000,2224808000,61056711000,231755000,192003000,0,63281519000,NA,24,6177213,5288760,85.6170992018421,3345,2207
"94","VT","vermont",39343,2021,7550556312,711491377,985651963,8861948,0,0,3043700350,0,2660856831,0,44879014,839580196,4090945732,200229503,3932704623,263903362,8799556692,0,0,0,9063460054,NA,50,643085,225850,35.1202111100226,4733,2207
"95","AZ","arizona",40623,2021,27669843000,6345131000,6938052000,230580000,251790000,184460000,6262883000,0,1585805000,37328000,506854000,6616822000,34277931000,731886000,21367940000,6683700000,56310879000,0,0,0,62994579000,NA,4,7151507,6385230,89.2851599566077,876,2207
"96","MS","mississippi",95852,2021,13476966000,4743624000,2583039000,6406000,0,1084932000,3482249000,0,176455000,0,0,2763455000,11808010000,609953000,8712382000,2054600000,21839200000,0,0,0,23893800000,NA,28,2961288,1370790,46.2904711106248,1176,2207
"97","NM","new mexico",82166,2021,20216469000,3538922000,4117189000,173000,207702000,9325000,9465093000,16932000,1419224000,0,208090000,6110272000,13518524000,512388000,15573022000,8229105000,27485101000,0,0,0,35714206000,NA,35,2117527,1578552,74.5471357558505,4470,2207
"98","WV","west virginia",39745,2021,13009788000,3596081000,516932000,218395000,0,0,3450088000,99169000,285156000,0,98971000,1516535000,7347681000,508221000,8564756000,1969482000,15967711000,0,0,0,17937193000,NA,54,1793755,800857,44.647926427595,1923,2207
"99","CA","california",31665,2021,480810792000,109884676000,142649833000,695893000,19815357000,1577454000,94255760000,0,93951696000,0,5907133000,72682113000,271361440000,1847263000,228081965000,4954588000,569018193000,0,0,0,573972781000,NA,6,39538245,37259490,94.2366327389068,2384,2207
"100","ND","north dakota",1241002,2021,10188478469,1805007000,5110750872,53251000,0,215145000,1671265000,31122000,42116000,0,93441000,2635715227,5033307761,17610105,5649540425,3504186048,9831987470,248655000,0,0,13336173518,NA,38,779091,474989,60.9668409716928,2145,2207
"101","OK","oklahoma",37320,2021,0,0,0,0,0,0,0,0,0,0,0,3575443000,9908854000,-9494043000,1206810000,716970000,22793625000,0,0,0,23510595000,NA,40,3959346,2558611,64.6219470706451,0,2207
"102","FL","florida",32221,2021,76561985000,19327136000,16014011000,33577000,0,18865000,10243863000,0,7142549000,0,850110000,22737192000,65338257000,2152795000,46735056000,8930865000,128032435000,1128180000,861000,25465000,136963300000,NA,12,21538226,19714806,91.534194591216,476,2207
"103","IN","indiana",196751,2022,18375927000,0,7430648000,0,0,0,9781677000,51213000,70133000,9290000,209060000,4062056000,21355055000,1540945000,24840303000,4956473000,46841886000,0,0,0,51798359000,NA,18,6785668,4829686,71.1762739760266,1442,1651
"104","NY","new york",42220,2022,245485000000,4399000000,81459000000,0,0,0,513000000,0,67729000000,17000000,1752000000,46313000000,122867000000,1268000000,128433000000,20158000000,278723000000,0,0,0,298881000000,NA,36,20201230,17665166,87.4459099038876,25,1651
"105","WV","west virginia",39745,2022,10321618000,3437851000,749918000,0,0,0,1468673000,719137000,0,18945000,94842000,1522680000,9142136000,554425000,7708385000,2683913000,16243713000,0,0,0,18927626000,NA,54,1793755,800857,44.647926427595,819,1651
"106","CO","colorado",31946,2022,37103515000,4903124000,14785219000,0,0,999002000,8410864000,0,1567351000,0,704550000,11037507000,18411867000,757604000,16872815000,2019728000,45060065000,0,0,0,47079793000,NA,8,5773733,4966936,86.0267065531822,1457,1651
"107","VA","virginia",39392,2022,35033174000,8126356000,16777683000,0,188420000,0,2823571000,0,1063130000,0,347462000,9382820000,26441696000,1577420000,36102512000,8582227000,64922221000,3752416000,0,0,73504448000,NA,51,8631384,6528313,75.6345238827615,327,1651
"108","PA","pennsylvania",37697,2022,76883947000,15148106000,20465022000,0,0,0,12550399000,0,19492810000,0,962177000,19033052000,56304970000,66189000,49580644000,16981108000,108003747000,0,0,0,124984855000,NA,42,13002689,9941070,76.4538903458512,965,1651
"109","UT","utah",39282,2022,6450339000,2609935000,3096536000,0,0,3794000,927000,288012000,2012000,353000,231060000,3054759000,7088461000,104400000,14130065000,5589602000,18788083000,0,0,0,24377685000,NA,49,3271614,2937303,89.7814107768149,0,1651
"110","CT","connecticut",149448,2022,97471207000,29766162000,7972469000,0,175287000,0,36132877000,0,20916477000,0,721487000,7369199000,13230978000,917581000,22840206000,3779102000,40578862000,0,0,0,44357964000,NA,9,3605942,3110153,86.2507293513155,10020,1651
"111","TX","texas",38611,2022,221174854000,60559197000,41312562000,0,3090029000,0,30883865000,0,77666435000,0,2168494000,47916624000,112644610000,335437000,86938325000,46971400000,200863596000,0,0,0,247834996000,NA,48,29145428,24400697,83.7202752191118,1060,1651
"112","AR","arkansas",49082,2022,10589316000,3114727000,2815654000,0,0,136208000,809251000,0,1556019000,0,480268000,4923420000,12593875000,844928000,11188907000,3653398000,25897732000,0,0,0,29551130000,NA,5,3011555,1670677,55.476131022034,269,1651
"113","DE","delaware",32212,2022,17470769000,3829645600,2150773500,0,266615000,0,392347000,1215401000,9319243000,0,226132200,2292631000,4389495000,0,6602746000,1829465000,11455407000,0,0,0,13284872000,NA,10,989957,817817,82.6121170000849,396,1651
"114","FL","florida",32221,2022,61828638000,17905758000,11499144000,0,0,5502000,3506978000,0,7283350000,0,811959000,22079790000,52999023000,1850388000,55983829000,25846886000,107066144000,1302488000,2047000,681770000,132913030000,NA,12,21538226,19714806,91.534194591216,163,1651
"115","KY","kentucky",90208,2022,38790928000,5106850000,3063688000,0,0,550050000,25034578000,0,2761751000,0,275672000,4236899000,17974786000,1028150000,17906104000,8207294000,32938645000,0,0,0,41145939000,NA,21,4505893,2644856,58.6984524070561,5556,1651
"116","KS","kansas",33447,2022,10127943000,3925041000,3327238000,0,0,0,1688067000,0,51820000,0,117062000,2007191000,7460619000,149728000,14027659000,2550496000,21094701000,0,0,0,23645197000,NA,20,2937847,2124059,72.2990387626452,575,1651
"117","ME","maine",33873,2022,8461350000,986000000,1504499000,0,270449000,0,1413826000,20087000,2577091000,0,72214000,1466454000,5730683000,0,6371819000,627644000,12941312000,0,0,0,13568956000,NA,23,1362341,526309,38.6321813853764,1038,1651
"118","MN","minnesota",34704,2022,22917985000,8749227000,8517624000,0,67173000,0,1692383000,0,721365000,0,567430000,4604280000,23012633000,198458000,34293460000,10729064000,51379767000,0,0,0,62108831000,NA,27,5706504,4101754,71.878705208487,297,1651
"119","ND","north dakota",1241002,2022,9629813391,2286788000,5106600721,0,0,152510000,535009808,31759726,28401715,0,91822000,2323150728,3004523986,58691784,4683019944,497541288,9571845154,0,0,0,10069386442,NA,38,779091,474989,60.9668409716928,687,1651
"120","NC","north carolina",40620,2022,31504536000,8789935000,12160266000,0,0,229530000,1502331000,31046000,6397613000,3354000,598458000,8002113000,31554542000,1149838000,38848537000,11327820000,68227210000,0,0,0,79555030000,NA,37,10439414,6964727,66.7158553738974,144,1651
"121","NE","nebraska",35432,2022,4658981000,0,3931094000,0,0,0,93694000,626992000,24606000,0,144018000,1066442000,5226084000,38955000,6979678000,1576449000,11734710000,0,0,0,13311159000,NA,31,1961489,1432003,73.005357113725,48,1651
"122","OH","ohio",36835,2022,53399275000,17706873000,17360425000,0,0,0,2200534000,0,380714000,0,626690000,15089538000,43515975000,1391676000,32742949000,8348422000,84391716000,0,0,0,92740138000,NA,39,11799374,9001099,76.2840685428674,186,1651
"123","SD","south dakota",38382,2022,2352102000,411813000,1518793000,0,0,102502000,0,156577000,0,0,72189000,873346000,2660114000,3786000,2258230000,330756000,5464720000,0,0,0,5795476000,NA,46,886677,507347,57.2195649550508,0,1651
"124","SC","south carolina",38235,2022,18760755000,1676480000,7784270000,0,0,70819000,3671799000,0,4178946000,0,215644000,4820379000,14144591000,977442000,18204901000,5159072000,32988241000,0,0,0,38147313000,NA,45,5118429,3477869,67.948030888408,717,1651
"125","TN","tennessee",38453,2022,11804020000,1695430000,7597871000,0,0,89563000,0,488630000,1176636000,0,349798000,4715391000,18567231000,925919000,22913559000,7425120000,39696980000,0,0,0,47122100000,NA,47,6910786,4577282,66.2333667108485,0,1651
"126","VT","vermont",39343,2022,7965341237,628865865,1870596466,0,0,0,2512066064,0,2738757616,0,47957346,904526152,3261292284,193309137,4255069672,641891950,7972305295,0,0,0,8614197245,NA,50,643085,225850,35.1202111100226,3906,1651
"127","WI","wisconsin",39818,2022,28179045000,12460879000,9503899000,0,0,73448000,0,2293688000,1466836000,285598000,2741890000,9973818000,17733158000,1021637000,23519584000,5729565000,46518632000,0,0,0,52248197000,NA,55,5893725,3953691,67.0831383517162,0,1651
"128","WY","wyoming",40122,2022,10722590497,8110475,7412305944,0,0,0,346254457,3044511,513331130,0,60546496,848669039,2019762209,9444139,1688013108,-365447220,4931335715,0,0,0,4565888495,NA,56,576837,357750,62.017748083994,600,1651
"129","ID","idaho",32673,2022,4430518000,786488000,2313910000,0,0,522412000,23641000,0,108492000,0,94466000,2402766000,4852727000,81487000,7182543000,1979431000,12540092000,723692000,244813000,56889000,14519523000,NA,16,1839092,1273437,69.2421752742909,13,1651
"130","NH","new hampshire",35545,2022,6359392000,1090588000,1850146000,0,0,198526000,850545000,0,2022441000,0,99027000,2867984000,3568791000,247242000,3030092000,1247110000,8466999000,0,0,0,9714109000,NA,33,1377518,803420,58.323273049061,617,1651
"131","GA","georgia",1265711,2022,40723358000,12150832000,15133639000,0,2505252000,0,3680849000,236197000,5284431000,552364000,728599000,9483124000,32085453000,1576693000,34736088000,12231024000,65650334000,0,0,0,77881358000,NA,13,10711937,7933986,74.0669729426354,344,1651
"132","NJ","new jersey",40624,2022,224574201619,23615600000,12009053193,0,2513100000,0,75075280124,1609824,88854449562,0,627200000,12763991980,32350658364,156626244,52079382929,14940830313,82409829204,0,0,0,97350659517,NA,34,9289031,8708779,93.7537369493403,8082,1651
"133","RI","rhode island",38202,2022,8946041000,3012221000,2535018000,0,0,0,2837608000,7256000,211355000,18381000,98630000,2571726000,5133851000,335376000,4950228000,1240953000,11750228000,0,0,0,12991181000,NA,44,1097371,999191,91.0524987265111,2586,1651
"134","LA","louisiana",90240,2022,37973068000,8105498000,14376799000,0,0,22083000,4890631000,0,6858087000,0,237696000,3353348000,25658088000,731853000,14070388000,3661406000,40152271000,632787000,490000000,0,43813677000,NA,22,4657749,3332237,71.5416669439818,1050,1651
"135","WA","washington",39528,2022,94852592000,28202688000,12559167000,0,0,2786000,956169000,10878819000,6467340000,0,988504000,21060736000,30328457000,726039000,30555175000,1751044000,80919363000,0,0,0,82670407000,NA,53,7705247,6424035,83.3718458807667,124,1651
"136","AK","alaska",31574,2022,12992621000,1260959000,7970975000,0,0,1069000,2385726000,50916000,0,1978984000,197205000,2630852000,4500376000,918795000,-132521000,-1933494000,9850996000,0,0,0,7917502000,NA,2,733378,475967,64.899487449396,3253,1651
"137","MI","michigan",80814,2022,35770264000,72117000000,8107624000,0,0,0,4680400000,0,5539800000,0,443400000,10338708000,34645149000,1068229000,41247952000,10596825000,76703213000,4911450000,1471000,0,87300038000,NA,26,10077325,7404258,73.4743951548282,464,1651
"138","MA","massachusetts",149462,2022,119941152000,45857895000,5731466000,0,0,0,34806645000,0,15217822000,0,1001576000,18388732000,32134037000,309534000,40898881000,8373633000,83357551000,1881248000,3410616000,0,91731184000,NA,25,7029949,6416895,91.2798116962121,4951,1651
"139","MO","missouri",148599,2022,20075010000,2114352000,5126640000,0,0,0,6458736000,0,3177080000,0,198906000,3657551000,16617091000,872728000,17380443000,4994099000,33533714000,1809209,262,0,38527813000,NA,29,6154920,4275663,69.4674806938782,1049,1651
"140","OR","oregon",37525,2022,23903290000,12224796000,3434804000,0,0,255192000,2894714000,0,92753000,125004000,343425000,6839071000,21287965000,22839000,18999124000,5104591000,42044408000,51469000,4418000,0,47148999000,NA,41,4237291,3410984,80.4998329107328,683,1651
"141","MD","maryland",149463,2022,60368151000,16791067000,8761664000,0,0,0,13366859000,0,13434828000,0,413728000,11841074000,23516992000,1042974000,29954121000,10564809000,55790349000,246088000,69569000,0,66355161000,NA,24,6177213,5288760,85.6170992018421,2164,1651
"142","MS","mississippi",95852,2022,13476906000,5083768000,3301950000,0,0,658825000,2601904000,0,143450000,0,131316000,3034109000,9761534000,593483000,9233996000,2438777000,20184345000,0,0,0,22623122000,NA,28,2961288,1370790,46.2904711106248,879,1651
"143","IA","iowa",1036991,2022,9689205000,3214006000,59175000,0,40878000,0,287823000,128969000,453731000,0,591363000,8217106000,10554449000,636929000,11621475000,3595082000,27434877000,5511843000,1030834000,40067000,31029959000,NA,19,3190372,2014831,63.1535411734505,90,1651
"144","AL","alabama",31550,2022,15782655000,6328378000,4026823000,0,0,0,3563587000,0,847193000,0,337147000,3247913000,13967565000,1010914000,16031626000,3242708000,31015310000,245070000,80606000,0,34258018000,NA,1,5024356,2900880,57.7372395123758,709,1651
"145","DC","district of columbia",47298,2022,20257809000,0,0,0,0,0,298308000,0,173193000,0,0,1332752000,6967124000,209696000,351792000,65912000,18212259000,0,0,0,18278171000,NA,11,689546,689545,100,433,1651
"146","NM","new mexico",82166,2022,16422831000,3659116000,4767930000,0,9432000,8235000,5026620000,31593000,1179892000,0,205063000,8144870000,12551614000,497163000,10359502000,5816581000,25736568000,0,0,0,31553149000,NA,35,2117527,1578552,74.5471357558505,2374,1651
"147","IL","illinois",399484,2022,247942779000,30696448000,26518751000,0,0,1873665000,139846404000,0,46611408000,0,1000112000,9395875000,40664651000,1675637000,70309459000,17153999000,104891623000,0,0,0,122045622000,NA,17,12812545,11137590,86.9274774306482,10915,1651
"148","HI","hawaii",71062,2022,28246474000,12472443000,2752439000,0,0,0,6323283000,0,5415988000,0,292276000,1924821000,7509482000,45611000,9211097000,2386373000,16304638000,0,0,0,18691011000,NA,15,1455273,1252450,86.0630081957244,4345,1651
"149","MT","montana",64951,2022,4907686000,224961000,2078098000,0,0,6963000,1926586000,59202000,120548000,0,0,1277445000,3726929000,480057000,4211336000,1675912000,8019855000,0,0,0,9695767000,NA,30,1084197,579177,53.4185247527035,1777,1651
